u g r i z y J H K radio-5.5GHz radio-1.25GHz radio-3GHz radio-6GHz X-ray-1keV X-ray-5keV sample_times
23.292550477149852 22.89650190160244 22.54560563909414 22.119619967087086 21.858063956939347 23.615689917755688 23.19272678762418 24.102492714601905 28.318199358808585 inf inf inf inf inf inf 0.0
22.613745928748614 22.134166225360666 21.77156790848787 21.405002967123142 21.195311696367888 22.677900769417498 22.38055210143453 23.190148478013782 26.654652989827007 inf inf inf inf inf inf 0.1
21.934941380347375 21.371830549118883 20.997530177881604 20.690385967159195 20.53255943579643 21.740111621079315 21.56837741524488 22.277804241425663 24.991106620845436 inf inf inf inf inf inf 0.2
21.25613683194613 20.609494872877104 20.223492447275333 19.97576896719525 19.86980717522497 20.802322472741125 20.756202729055225 21.365460004837544 23.327560251863858 inf inf inf inf inf inf 0.30000000000000004
20.57733228354489 19.847159196635324 19.449454716669067 19.261151967231307 19.20705491465351 19.86453332440294 19.944028042865575 20.453115768249422 21.66401388288228 inf inf inf inf inf inf 0.4
19.898527735143652 19.08482352039354 18.6754169860628 18.546534967267363 18.544302654082053 18.92674417606475 19.13185335667592 19.5407715316613 20.000467513900702 inf inf inf inf inf inf 0.5
19.219723186742407 18.322487844151762 17.901379255456533 17.831917967303415 17.881550393510594 17.98895502772657 18.31967867048627 18.62842729507318 18.336921144919128 inf inf inf inf inf inf 0.6000000000000001
19.298074648487997 18.285657978686537 17.830881390446812 17.72397629560151 17.748101317516173 17.814587892236016 18.12771260774946 18.384186835588203 18.213312805200395 inf inf inf inf inf inf 0.7000000000000001
19.419888653265318 18.290473860066186 17.800768375155315 17.650859220425975 17.6450354942837 17.6840429831296 17.9713479846423 18.17829711065842 18.178100544976644 inf inf inf inf inf inf 0.8
19.541702658042638 18.295289741445835 17.770655359863817 17.57774214525044 17.541969671051227 17.55349807402318 17.81498336153514 17.972407385728637 18.142888284752893 inf inf inf inf inf inf 0.9
19.66351666281996 18.300105622825484 17.74054234457232 17.504625070074905 17.43890384781875 17.42295316491677 17.658618738427982 17.766517660798854 18.10767602452914 inf inf inf inf inf inf 1.0
19.78533066759728 18.304921504205133 17.71042932928082 17.43150799489937 17.335838024586273 17.29240825581035 17.502254115320824 17.56062793586907 18.072463764305386 inf inf inf inf inf inf 1.1
19.9132131305759 18.37966530207665 17.73381348805037 17.402346383295992 17.27593449260725 17.217031910753008 17.40245888521771 17.466474559976472 17.94405113627827 inf inf inf inf inf inf 1.2000000000000002
20.04176630772701 18.462137857910687 17.76311040285126 17.378042933584503 17.220801457433247 17.147753051507713 17.30891596704592 17.38467080410186 17.80533757093016 inf inf inf inf inf inf 1.3
20.170319484878117 18.544610413744724 17.792407317652156 17.353739483873007 17.165668422259238 17.07847419226242 17.215373048874135 17.30286704822725 17.66662400558205 inf inf inf inf inf inf 1.4000000000000001
20.298872662029225 18.627082969578762 17.82170423245305 17.329436034161517 17.11053538708523 17.009195333017118 17.12183013070235 17.22106329235264 17.527910440233942 inf inf inf inf inf inf 1.5
20.427425839180337 18.7095555254128 17.851001147253946 17.305132584450025 17.055402351911223 16.939916473771824 17.02828721253056 17.13925953647803 17.389196874885833 inf inf inf inf inf inf 1.6
20.517890835812565 18.821801006195102 17.925272900866787 17.352026341203512 17.06854386436764 16.94839973830706 17.021152825121312 17.124658896416143 17.35576461035822 inf inf inf inf inf inf 1.7000000000000002
20.60190876713289 18.93908605539608 18.00715740256218 17.410971422904836 17.093241992596127 16.97004555048768 17.02864453519802 17.12143351426644 17.340152977146293 inf inf inf inf inf inf 1.8
20.685926698453216 19.05637110459706 18.089041904257577 17.46991650460616 17.117940120824617 16.9916913626683 17.03613624527473 17.118208132116735 17.324541343934364 inf inf inf inf inf inf 1.9000000000000001
20.76994462977354 19.173656153798035 18.17092640595297 17.528861586307485 17.142638249053107 17.013337174848914 17.043627955351436 17.114982749967034 17.30892971072243 inf inf inf inf inf inf 2.0
20.853962561093866 19.290941202999015 18.25281090764836 17.58780666800881 17.167336377281597 17.034982987029537 17.051119665428146 17.111757367817333 17.293318077510506 inf inf inf inf inf inf 2.1
20.94456494142863 19.41378117522641 18.35697588999861 17.668274169937092 17.222988514252474 17.08054822788069 17.087479197960135 17.138378114005363 17.30859632011662 inf inf inf inf inf inf 2.2
21.036711839391497 19.53792416863572 18.466367216278076 17.753790197165962 17.285901549144818 17.13172426154908 17.13061027061176 17.17199988203243 17.3311204169508 inf inf inf inf inf inf 2.3000000000000003
21.128858737354363 19.662067162045027 18.575758542557548 17.83930622439484 17.348814584037157 17.182900295217472 17.17374134326339 17.205621650059502 17.353644513784978 inf inf inf inf inf inf 2.4000000000000004
21.221005635317226 19.786210155454334 18.685149868837016 17.92482225162371 17.411727618929497 17.234076328885862 17.21687241591502 17.239243418086573 17.37616861061916 inf inf inf inf inf inf 2.5
21.31315253328009 19.910353148863642 18.794541195116487 18.010338278852586 17.474640653821837 17.285252362554253 17.26000348856665 17.27286518611364 17.39869270745334 inf inf inf inf inf inf 2.6
21.40710162532401 20.013749132379353 18.89325706250908 18.090462946735222 17.54027363293018 17.342850240579338 17.31079439566966 17.313044639797283 17.42623740141523 inf inf inf inf inf inf 2.7
21.501605072537686 20.110763332538742 18.98868915714624 18.168929231674 17.606743267287484 17.402423478892118 17.36394146899926 17.355241238572855 17.455326431806935 inf inf inf inf inf inf 2.8000000000000003
21.596108519751354 20.20777753269813 19.084121251783397 18.24739551661277 17.673212901644792 17.461996717204904 17.417088542328862 17.397437837348427 17.48441546219864 inf inf inf inf inf inf 2.9000000000000004
21.69061196696503 20.304791732857524 19.179553346420555 18.325861801551547 17.7396825360021 17.521569955517684 17.47023561565846 17.439634436124003 17.513504492590346 inf inf inf inf inf inf 3.0
21.785115414178698 20.401805933016917 19.274985441057712 18.404328086490317 17.806152170359404 17.58114319383047 17.523382688988065 17.48183103489957 17.542593522982052 inf inf inf inf inf inf 3.1
21.879528480521934 20.494133988021503 19.35898557916922 18.47463360615759 17.87061779992105 17.6378980775009 17.57760083453696 17.531943028015387 17.58105028245863 inf inf inf inf inf inf 3.2
21.97390631522937 20.58463532285169 19.438529392320994 18.54175795365295 17.934302242415527 17.69355432996941 17.63223649793189 17.58514054453093 17.62315870425943 inf inf inf inf inf inf 3.3000000000000003
22.068284149936808 20.675136657681875 19.51807320547277 18.60888230114831 17.99798668491 17.749210582437918 17.686872161326818 17.63833806104647 17.665267126060236 inf inf inf inf inf inf 3.4000000000000004
22.16266198464424 20.76563799251206 19.597617018624547 18.67600664864367 18.061671127404473 17.804866834906427 17.741507824721744 17.691535577562007 17.70737554786104 inf inf inf inf inf inf 3.5
22.257039819351675 20.856139327342248 19.67716083177632 18.74313099613903 18.12535556989895 17.860523087374933 17.796143488116677 17.744733094077546 17.749483969661842 inf inf inf inf inf inf 3.6
22.349489925052588 20.933036958588353 19.746975173381287 18.805222662123633 18.185671958936894 17.916172723893524 17.850691983214983 17.79757845739771 17.79519699217931 inf inf inf inf inf inf 3.7
22.441008827135583 21.003363221166147 19.81208962248369 18.86488325443826 18.244361385080456 17.971819164529045 17.905198371029073 17.850253710537196 17.84265124347796 inf inf inf inf inf inf 3.8000000000000003
22.532527729218586 21.07368948374394 19.877204071586092 18.92454384675289 18.30305081122402 18.027465605164565 17.95970475884316 17.902928963676683 17.89010549477661 inf inf inf inf inf inf 3.9000000000000004
22.62404663130158 21.14401574632173 19.942318520688495 18.98420443906752 18.361740237367584 18.083112045800082 18.014211146657246 17.95560421681617 17.93755974607526 inf inf inf inf inf inf 4.0
22.71556553338458 21.21434200889952 20.0074329697909 19.043865031382147 18.42042966351115 18.1387584864356 18.068717534471332 18.008279469955657 17.985013997373912 inf inf inf inf inf inf 4.1000000000000005
22.80761359352065 21.28336302422109 20.068837710205514 19.101449209281803 18.475138015176526 18.190675160121526 18.121978591261087 18.061111873006745 18.033802940422397 inf inf inf inf inf inf 4.2
22.899973705169856 21.351614317946336 20.12805478626809 19.15780889809674 18.527498674488747 18.240392340832734 18.174505259850115 18.114036949442315 18.083378968875103 inf inf inf inf inf inf 4.3
22.992333816819063 21.419865611671582 20.187271862330668 19.214168586911676 18.579859333800968 18.29010952154394 18.227031928439146 18.166962025877886 18.132954997327815 inf inf inf inf inf inf 4.4
23.084693928468262 21.48811690539683 20.24648893839324 19.270528275726615 18.63221999311319 18.339826702255145 18.279558597028178 18.219887102313457 18.182531025780523 inf inf inf inf inf inf 4.5
23.17705404011747 21.556368199122073 20.30570601445582 19.326887964541555 18.68458065242541 18.389543882966354 18.33208526561721 18.272812178749028 18.232107054233232 inf inf inf inf inf inf 4.6000000000000005
23.271039533128807 21.62796274465027 20.361818389690423 19.38053608363778 18.736674783939 18.44090261302354 18.382216832715052 18.322695092103544 18.28006737056556 inf inf inf inf inf inf 4.7
23.366183758043494 21.701940689308817 20.415717428422262 19.43225112880168 18.788578908189926 18.49343160111519 18.4306409355991 18.370409252020046 18.326875848182294 inf inf inf inf inf inf 4.800000000000001
23.46132798295818 21.775918633967365 20.469616467154104 19.48396617396558 18.84048303244085 18.545960589206842 18.479065038483153 18.41812341193655 18.373684325799026 inf inf inf inf inf inf 4.9
23.556472207872872 21.849896578625916 20.523515505885943 19.53568121912948 18.89238715669178 18.598489577298494 18.527489141367205 18.465837571853054 18.42049280341576 inf inf inf inf inf inf 5.0
23.651616432787556 21.923874523284468 20.57741454461778 19.587396264293382 18.944291280942707 18.651018565390146 18.575913244251254 18.513551731769557 18.46730128103249 inf inf inf inf inf inf 5.1000000000000005
